Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,201117c0-1532-4bc9-bb8e-108a9de4a06e
CAN,50-249,Manufacturing,4b94dceb-f515-470f-85c8-528d6b13bb3b
CAN,250+,ICT,bfe32b90-f31a-4bf6-8896-9c3a3b8f6d98
CAN,250+,Manufacturing,b075ff65-27dc-412f-acb8-f7a46a04ad56
DEU,50-249,ICT,0d001515-ae1b-469a-996c-ec4b80034d3d
DEU,50-249,Manufacturing,9a4e6dc0-abca-4ab2-a973-bb7fd247de01
DEU,250+,ICT,df9d74df-0ecc-42d8-9d38-2de159f7779f
DEU,250+,Manufacturing,eb60a413-89ec-462c-953d-b30ee3b25401
FRA,50-249,ICT,f6dc3a22-06e4-416d-8874-402eac5bc569
FRA,50-249,Manufacturing,de30d302-a855-4700-ba3d-74c9fffd8e9f
FRA,250+,ICT,45631393-76ee-495b-813a-278b46720fd5
FRA,250+,Manufacturing,78fd7294-33f6-47c6-bfbd-939d0dfaee4b
GBR,50-249,ICT,7f62e015-0ad6-4c37-9ccc-2004f5255f8a
GBR,50-249,Manufacturing,6bff6232-b346-488b-8a18-31ba28f5d2d7
GBR,250+,ICT,bacff02b-5830-453f-80ab-486af954c777
GBR,250+,Manufacturing,0dc6f545-423a-43ad-a325-69bbfc77f092
ITA,50-249,ICT,92965421-5009-44f5-9f96-7109dde73689
ITA,50-249,Manufacturing,e4caf857-6947-48b9-8ac2-bcfef976b8cc
ITA,250+,ICT,ecd9aca5-cf1a-4d34-80ef-66c6c9464d83
ITA,250+,Manufacturing,1e75c78c-88d6-4080-a558-51e94bb81428
JPN,50-249,ICT,c7c64b51-a68a-4895-acea-ecd344369713
JPN,50-249,Manufacturing,ab7d5a87-be6d-41df-a72c-f67c4f48ad8e
JPN,250+,ICT,aabde5f9-fc73-4058-8c1d-b4c4616049bb
JPN,250+,Manufacturing,b1422302-5056-4bb3-a527-b7fd8f8202b4
USA,50-249,ICT,bdf20c5b-3786-4bb0-b277-29ac5f433540
USA,50-249,Manufacturing,07b50383-0ce8-4f05-92e3-475023c27df4
USA,250+,ICT,5619d10e-bbda-4f12-9512-c52efb290a17
USA,250+,Manufacturing,4fa3b901-42d1-482f-973d-58ca898a4e6b
