dimension_id,indicator,value,table_id
15d3e7fc-eb97-437a-8331-158a3c1583c3,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
f1b6ccc2-5333-459d-95da-1e6a97cfbd78,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
8a0e2640-123e-44f5-bdb1-1a94d75b2d2b,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
2d775eef-56b1-4ba3-a05a-a0f5952e20ef,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
30a2fe4d-97f7-476d-814d-a713dccbdeb0,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
a5a60055-3716-4eae-8657-d38280065517,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
c7c0d71f-6c97-42be-a704-b12dc5cc39ba,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
07232150-b381-49bc-8444-a11336c448ad,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
165b1c4a-f55e-406a-ba0c-2846aa0c5536,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
ef566573-2ce1-411a-9e4d-a6136a7b6afe,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
2e0852f4-0906-4166-b197-addd89d30420,We are unfamiliar with this concept,2 (6.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
2cb20b0a-3f53-43e9-825a-5a4f8194dc84,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
670c5f50-1b20-40bc-a509-8b51c88dd8ff,We are unfamiliar with this concept,2 (6.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
4df1f887-082a-484f-becd-34d5c889630f,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
5a425897-d401-4833-a7e0-43fd40a1eb72,We are unfamiliar with this concept,1 (3.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
3f3114b6-3097-4de4-9aab-4849c841d95f,Yes,23 (76.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
ebddf9ed-1586-431a-b882-ef4ac81344df,Yes,25 (83.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
109ad2d3-4e2b-4cce-b1fc-84311d48ebe2,Yes,26 (86.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
24d5104b-318d-4b58-a196-2b8158223776,Yes,15 (50.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
19832455-21a8-4e49-8b2c-6295dcbd5c2f,Yes,28 (93.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
da0f8c3f-e664-4f6f-8017-f79dd1cb9cee,Yes,16 (53.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
6f7d9bec-9742-459b-bb4e-335100bedade,Yes,28 (93.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
4ad47589-8e5a-4e56-95c7-0d298050b57a,Yes,18 (60.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
33d1ac75-0a99-4492-9f01-479211f55b53,Yes,27 (90.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
f33b6b8b-5567-4f60-a596-837a8bde0d8e,Yes,28 (93.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
7b5919c3-0f9b-401b-ae91-8071e615ba2d,Yes,29 (96.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
c3dc1231-0cc3-45ca-ac72-4c39861398c8,Yes,25 (83.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
4413b3cb-63d6-4d37-8c9d-93d42aee3746,Yes,25 (83.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
15d3e7fc-eb97-437a-8331-158a3c1583c3,Yes,19 (63.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
f1b6ccc2-5333-459d-95da-1e6a97cfbd78,Yes,27 (90.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
8a0e2640-123e-44f5-bdb1-1a94d75b2d2b,Yes,21 (70.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
2d775eef-56b1-4ba3-a05a-a0f5952e20ef,Yes,21 (70.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
30a2fe4d-97f7-476d-814d-a713dccbdeb0,Yes,17 (56.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
