Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,4175ee7c-a4e6-4b99-9d62-b5a610cd25cc
CAN,50-249,Manufacturing,21a54520-fc59-4d50-a662-321b8c38eae1
CAN,250+,ICT,5c6a09bf-1cad-4415-9c11-a181add11e3a
CAN,250+,Manufacturing,34ca79da-3df0-4dbb-8594-c83611fe4cf9
DEU,50-249,ICT,0e7ea953-c4d9-49ea-8ec5-0decdf0ca0a8
DEU,50-249,Manufacturing,3433d97e-cb3e-4cf9-963b-a4978960d4f5
DEU,250+,ICT,dfc78d4b-33c8-44a9-bbca-7137d13d1eee
DEU,250+,Manufacturing,c77c5163-17cf-4c9e-8daf-76b52c79e7a8
FRA,50-249,ICT,12e45b64-1524-40ee-a814-62cbbc649f4b
FRA,50-249,Manufacturing,bb287599-c225-4105-9465-afcdf6fbd74d
FRA,250+,ICT,bc336d1d-9896-46fd-ba3a-9d0eda55b3a4
FRA,250+,Manufacturing,c096e074-3446-4463-be67-4e0d5ba481d8
GBR,50-249,ICT,2105beeb-7266-47ac-9869-8cb3adb64ee9
GBR,50-249,Manufacturing,7345572c-f4f0-48f2-87b5-1fe5bbd46ef7
GBR,250+,ICT,5ea968de-5cc6-41da-9453-4da8d367a1dd
GBR,250+,Manufacturing,eb7047b8-b3ba-441a-a70f-62faa1d9b74b
ITA,50-249,ICT,f8b46e52-4285-42ad-827d-a76c1ac7ccf8
ITA,50-249,Manufacturing,1be084d7-5ebc-473f-851a-c958b011ee18
ITA,250+,ICT,3bb388ce-4498-4a70-baa1-02f1dafff8be
ITA,250+,Manufacturing,61aa04b0-c1aa-432a-8df7-6050942bd970
JPN,50-249,ICT,5e1518df-682f-42e4-9389-39c0ce2a7598
JPN,50-249,Manufacturing,b6a5c52c-c4f6-4ffb-bfc7-85f0593220e1
JPN,250+,ICT,f6953803-3633-4dfa-9ba7-2f0b2a141b8e
JPN,250+,Manufacturing,922f22d2-e295-464e-b694-417c310ff5a9
USA,50-249,ICT,a5338cea-8bcd-4c69-b3d5-0605882b41de
USA,50-249,Manufacturing,296c219e-64e6-4879-872f-22a2a6b40a68
USA,250+,ICT,194fc443-ee32-48ba-b8d2-d1399c12f5ce
USA,250+,Manufacturing,49e2c608-6d22-439a-98fa-4ec9113ebde0
