dimension_id,indicator,value,table_id
7dda57c4-ea4d-419a-b2fe-d7cd61832b37,Yes,29 (96.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
50852b8b-9097-49c1-bfbc-527815452ca6,Yes,27 (90.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
2997f730-da26-4270-82f8-dbf06e497e68,Yes,27 (90.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
f26b0754-9751-4be6-b319-af5c4bb4c32d,Yes,26 (86.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
69ef8e05-9ac4-43aa-8791-09fdc090584d,Yes,26 (86.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
b53bedd0-3332-4e33-916c-33a666a62836,Yes,27 (90.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
fd77ef49-9104-47ac-a776-04913dce8afc,Yes,27 (90.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
c8a75ede-20ac-491e-8da2-207337028424,Yes,28 (93.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
348421a7-bc95-4f15-ba23-9cebe8e34ad8,Yes,28 (93.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
e570dfa4-0e6f-4bfd-898f-a6cf49eb5732,Yes,29 (96.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
36f3288c-11de-447e-96ef-e0f51fbb4181,Yes,26 (86.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
eddcd718-1934-4c7b-b9e5-d7ef95e3a744,Yes,28 (93.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
c9df32eb-0ccd-4620-b91e-358de8fd276e,Yes,26 (86.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
7f06625d-5c48-4eb7-950a-fa903edd1fcd,Yes,18 (60.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
54f9385e-4e74-4376-9778-e0d90b590741,Yes,27 (90.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
4e0c1e4e-1ca9-4563-ba5c-e6902e273eea,Yes,21 (70.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
