Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,4c18bd9d-de29-4dd7-b4df-88fa4fb9abea
CAN,50-249,Manufacturing,563c6257-5623-4db8-856b-0ab924e09153
CAN,250+,ICT,b505881d-c11f-417a-a014-82fe2a13b636
CAN,250+,Manufacturing,0707d46f-898c-4956-aa81-35912c756883
DEU,50-249,ICT,ed6a9077-91de-4a9b-b1fc-dcf4f7827913
DEU,50-249,Manufacturing,e36dfef9-8410-4b0f-adbe-e43a1509dec4
DEU,250+,ICT,5e0a99a9-59f1-408c-9bb2-7938e11f9f69
DEU,250+,Manufacturing,56c61992-6bdc-4bd4-8cf9-0346b63ac39e
FRA,50-249,ICT,796cd881-370d-4c6d-a6c6-960669343f60
FRA,50-249,Manufacturing,1ce40589-86dd-49be-89f3-b9b5d8aff9df
FRA,250+,ICT,1086638a-13b1-48ce-b788-0daaa77e7b90
FRA,250+,Manufacturing,4f434446-ba78-4ae6-9c30-1e27f052c1cd
ITA,50-249,ICT,ea33b759-b79f-4ded-9403-12d61ad7c2ae
ITA,50-249,Manufacturing,17b112d6-0619-446c-8871-a0e9f5a5d1ca
ITA,250+,ICT,b4381151-a17c-4b45-b63d-2624a8aa8824
ITA,250+,Manufacturing,563bc850-45e8-4783-b37c-2e6cbcb6836d
JPN,50-249,ICT,806b5fe1-909d-4192-bf08-a5514cf04a45
JPN,50-249,Manufacturing,85243be2-b683-4ccc-b86e-527a097279e2
JPN,250+,ICT,b263595c-4a04-499b-b9a9-705ed17bcc6e
JPN,250+,Manufacturing,003f5891-86e3-4244-b82a-e4a13ca5739b
USA,50-249,ICT,8c8152bb-53e0-4004-930e-ebca69fb7e0c
USA,50-249,Manufacturing,9dd4c675-0d9c-4c39-8468-d88766302e7a
USA,250+,ICT,72dcb8c1-9d24-44a8-902b-0c44b74db9c1
USA,250+,Manufacturing,30fe8b6e-90fb-4b3f-b1bd-47cfbb9dd808
