dimension_id,indicator,value,table_id
255078de-af6a-40e9-9cb5-20360118727e,2000-2010,13 (43.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
698486ff-f6ed-41b5-84db-4b3344f0effd,2000-2010,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
91fe29fc-333e-416a-a150-64d4f7c95801,2000-2010,15 (50.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
adc39079-b3c2-43b4-be31-dd26a4c74fe9,2000-2010,9 (30.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
f2505be2-1204-4e04-a43b-988cf146ec43,2000-2010,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
9f5349cf-3aea-430e-b8dc-dc5dc0e979b7,2000-2010,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
38398f64-d638-497a-ad15-2ae524d80391,2000-2010,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e80139a0-9a0a-4da9-9923-47abd885ba16,2000-2010,8 (26.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1ba6d074-32bd-4e9b-8bbf-552df8884c86,2000-2010,5 (16.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
3b4011f1-8598-4537-8378-eaacecc34e45,2000-2010,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
5e5a0f86-bd00-480d-9878-d1b334f6e813,2000-2010,8 (26.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
2902d393-486e-4ef8-8a71-e7a20f5c749e,2000-2010,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
b5b52a68-727b-4e4c-ae9d-85a516f4ebe0,2000-2010,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e01a79da-e454-4068-86e5-3716b63862b4,2000-2010,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b0162a3-974a-4713-a86e-75d0b4570776,2000-2010,11 (36.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a8bdbbd1-3bb2-48b1-aa78-aa69988fca88,2000-2010,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
