Industry,Industry_id
Healthcare,056d9d31
Telecom,b0c5f222
Advertising,a5e4848c
Technology,5cdf936f
Hospitality,83c329aa
Entertainment,7b096b5b
Legal Services,6168f6b3
Transportation,ede67eba
Retail,46346deb
Utilities,fbce26b9
Finance,2f96224a
Manufacturing,34953ab5
Education,c202049f
Defense,862138d7
