Country,Country_id
USA,5b4e89ab
South Africa,a29b057c
India,59addff2
UK,697a4730
Switzerland,7fa2e13d
South Korea,17d28d56
Canada,58bd8c37
Brazil,ef54465d
UAE,18531023
Singapore,12e7ede6
Germany,0c513c38
Australia,36ccbd2f
France,da9bfd96
Japan,fffb55b8
