LocationLongitude,LocationLongitude_id
"59,478",9224e7da
"54,157",e7e57f2b
"4,478",fbbccaac
"49,072",d71fccf1
"60,718",e8bf4dec
"49,392",c9723d51
"46,006",d8a20d5f
"62,237",0a227c5d
"50,538",162a0497
"6,808",51f75d7e
"54,498",a1cd1683
"65,152",c0d6f6da
"6,098",d887e242
"60,734",4926cc13
"61,876",314cb57d
"55,872",9155af83
"50,963",29b0e12f
