LocationLatitude,LocationLatitude_id
"519,843",243ca487
"518,929",b833ea56
"518,559",2dedd255
"523,864",b0879232
"52,503",7358d9f4
"52,352",b0d70f66
"519,144",417c18d6
"526,961",e70e9cbb
"521,136",e68cf96f
"52,273",8408b6fb
"525,195",872caa16
"527,149",322011d1
"522,367",bf13f4e7
"519,296",bddd75ca
"52,706",43af3673
"522,517",47505430
"518,167",3cd690ca
