Q1,Q1_id
Digitalization,3923bcaf
Executive Office or Corporate Affairs,032dc16f
Facility Management,7bdb84c9
Customer & Billing,0396b913
Finance & Control,a0aac9cf
Design & Construction,b9680125
Water Expertise Center or Business Development,124ea26a
People & Organization (HR),e670509c
Asset Management,59ad37b7
Drinking Water Operations – Extraction & Purification,f9b919d0
